x1,x2,x3,x4,x5,x6,y2
100.5,30,506.8,115.5,246.2,167.2,20
103.2,19.2,502.5,110,230,171,22
101,29.8,508.2,116.5,249,167.2,21
104.2,28.2,500.8,108.5,231,171.2,26
99,19,506,110.2,230.5,171,21
97.8,16.2,506.2,109.2,230,172,20
102,16.5,504.8,110,231.5,173,21
104,16,504.8,111,232,171.5,20
106,24,500,110.2,232.2,170,24
105,29,506,116,246,167.5,22
106,29.8,505.2,105.8,243.8,166,23
100.5,30,506.8,115.5,246.2,167.2,20
102,23.5,501.2,109,231,170.5,23
108,20,501,109.5,228.2,171,24
104.2,28.2,500.8,108.5,231,171.2,26
97,28,510,105.2,228.8,166,19
102,17,499,107.5,227.2,169,22
107,19.8,510.5,113.5,238.2,169.5,17
103.8,13,508.2,109.2,232,169.8,23
104.8,15.2,499.2,109.5,227.5,172.5,22
102,16.5,504.8,110,231.5,173,21
106,29.8,505.2,105.8,243.8,166,21
106,29.8,505.2,105.8,243.8,166,22
103.2,19.2,502.5,110,230,171,21
99,19,506,110.2,230.5,171,21
103.8,28.8,508.8,105.5,240.8,166,25
102,23.5,501.2,109,231,170.5,22
97.5,28,507,105.8,231.2,165.5,25
103.5,18.5,498.8,109.5,231.2,169.8,22
106,29.8,505.2,105.8,243.8,166,22
97.8,16.2,506.2,109.2,230,172,20
103.5,18.5,498.8,109.5,231.2,169.8,22
104,16,504.8,111,232,171.5,21
104,22,500.5,109,228.8,171.2,23
97.5,28,507,105.8,231.2,165.5,24
102,17,499,107.5,227.2,169,21
104.2,28.2,500.8,108.5,231,171.2,24
103.5,29,508.8,114,243.8,166,22
103,19.5,497.8,110.5,230.2,171,24
104,30,507.2,117.2,246.5,167.2,21
108,20,501,109.5,228.2,171,23
105.2,24,500,110.2,231.5,169.8,25
109.2,18.2,501,110.5,231.2,171.5,19
104,16,504.8,111,232,171.5,21
103.2,28.2,510,105,242.8,171,24
101.2,25.2,509,113,246.5,166,23
102,16.5,504.8,110,231.5,173,22
103.8,13,508.2,109.2,232,169.8,21
99.5,16.2,504.8,108.5,229.8,171,21
107,19.8,510.5,113.5,238.2,169.5,17
103.8,29.8,508.2,116.8,248.8,165.8,23
109.2,18.2,501,110.5,231.2,171.5,20
103.5,29,508.8,114,243.8,166,23
103.2,28.2,510,105,242.8,171,24
104,22,500.5,109,228.8,171.2,23
104.8,15.2,499.2,109.5,227.5,172.5,20
103.8,28.8,508.8,105.5,240.8,166,25
103.2,19.2,502.5,110,230,171,21
102.8,30.8,508.2,106,243.5,166,27
97.8,16.2,506.2,109.2,230,172,20
103.2,19.2,502.5,110,230,171,21
110,19,498.2,111.8,232,172.5,22
105,29,506,116,246,167.5,21
103.8,28.8,508.8,105.5,240.8,166,24
103.5,18.5,498.8,109.5,231.2,169.8,28.74877816
100.5,30,506.8,115.5,246.2,167.2,25.74877816
101,30,509,115.8,244.8,167,27.74877816
103,19.5,497.8,110.5,230.2,171,28.74877816
106,29.8,505.2,105.8,243.8,166,28.74877816
109,20.8,500,110.5,230.5,171.2,28.74877816
109.2,18.2,501,110.5,231.2,171.5,25.74877816
103.2,28.2,510,105,242.8,171,30.74877816
104.8,15.2,499.2,109.5,227.5,172.5,26.74877816
103.8,13,508.2,109.2,232,169.8,28.74877816
103.8,29.8,508.2,116.8,248.8,165.8,27.74877816
103.8,28.8,508.8,105.5,240.8,166,29.74877816
105.5,20.8,504,110.8,231,171.2,33.49755632
99,19,506,110.2,230.5,171,31.49755632
101,29.8,508.2,116.5,249,167.2,32.49755632
103.2,28.2,510,105,242.8,171,34.49755632
97,28,510,105.2,228.8,166,30.49755632
103.8,28.8,506.2,116.5,248,167,32.49755632
104.8,15.2,499.2,109.5,227.5,172.5,32.49755632
99,19,506,110.2,230.5,171,31.49755632
103.8,28.8,508.8,105.5,240.8,166,35.49755632
103.2,28.2,510,105,242.8,171,35.49755632
103.5,18.5,498.8,109.5,231.2,169.8,33.49755632
103.5,18.5,498.8,109.5,231.2,169.8,34.49755632
102,17,499,107.5,227.2,169,32.49755632
106,24,500,110.2,232.2,170,34.49755632
102.8,30.8,508.2,106,243.5,166,32.74877816
106,29.8,505.2,105.8,243.8,166,28.74877816
103.8,28.8,506.2,116.5,248,167,27.74877816
97,28,510,105.2,228.8,166,24.74877816
104.2,28.2,500.8,108.5,231,171.2,31.74877816
109,20.8,500,110.5,230.5,171.2,27.74877816
101,29.8,508.2,116.5,249,167.2,27.74877816
103.5,27,510.5,104.5,243.5,171,28.74877816
103,19.5,497.8,110.5,230.2,171,27.74877816
108,20,501,109.5,228.2,171,29.74877816
102,17,499,107.5,227.2,169,27.74877816
109.2,18.2,501,110.5,231.2,171.5,25.74877816
109.2,18.2,501,110.5,231.2,171.5,24.74877816
101,29.8,508.2,116.5,249,167.2,28.74877816
