x1,x2,x3,x4,x5,x6,y1
100.5,30,506.8,115.5,246.2,167.2,44
103.2,19.2,502.5,110,230,171,44
101,29.8,508.2,116.5,249,167.2,44
104.2,28.2,500.8,108.5,231,171.2,44
99,19,506,110.2,230.5,171,44
97.8,16.2,506.2,109.2,230,172,43
102,16.5,504.8,110,231.5,173,43
104,16,504.8,111,232,171.5,42
106,24,500,110.2,232.2,170,44
105,29,506,116,246,167.5,47
106,29.8,505.2,105.8,243.8,166,42
100.5,30,506.8,115.5,246.2,167.2,44
102,23.5,501.2,109,231,170.5,44
108,20,501,109.5,228.2,171,44
104.2,28.2,500.8,108.5,231,171.2,44
97,28,510,105.2,228.8,166,41
102,17,499,107.5,227.2,169,45
107,19.8,510.5,113.5,238.2,169.5,44
103.8,13,508.2,109.2,232,169.8,43
104.8,15.2,499.2,109.5,227.5,172.5,46
102,16.5,504.8,110,231.5,173,43
106,29.8,505.2,105.8,243.8,166,40
106,29.8,505.2,105.8,243.8,166,41
103.2,19.2,502.5,110,230,171,43
99,19,506,110.2,230.5,171,44
103.8,28.8,508.8,105.5,240.8,166,38
102,23.5,501.2,109,231,170.5,43
97.5,28,507,105.8,231.2,165.5,40
103.5,18.5,498.8,109.5,231.2,169.8,45
106,29.8,505.2,105.8,243.8,166,41
97.8,16.2,506.2,109.2,230,172,43
103.5,18.5,498.8,109.5,231.2,169.8,45
104,16,504.8,111,232,171.5,43
104,22,500.5,109,228.8,171.2,46
97.5,28,507,105.8,231.2,165.5,39
102,17,499,107.5,227.2,169,44
104.2,28.2,500.8,108.5,231,171.2,42
103.5,29,508.8,114,243.8,166,42
103,19.5,497.8,110.5,230.2,171,46
104,30,507.2,117.2,246.5,167.2,47
108,20,501,109.5,228.2,171,43
105.2,24,500,110.2,231.5,169.8,45
109.2,18.2,501,110.5,231.2,171.5,41
104,16,504.8,111,232,171.5,43
103.2,28.2,510,105,242.8,171,40
101.2,25.2,509,113,246.5,166,43
102,16.5,504.8,110,231.5,173,44
103.8,13,508.2,109.2,232,169.8,41
99.5,16.2,504.8,108.5,229.8,171,42
107,19.8,510.5,113.5,238.2,169.5,44
103.8,29.8,508.2,116.8,248.8,165.8,44
109.2,18.2,501,110.5,231.2,171.5,42
103.5,29,508.8,114,243.8,166,43
103.2,28.2,510,105,242.8,171,40
104,22,500.5,109,228.8,171.2,46
104.8,15.2,499.2,109.5,227.5,172.5,44
103.8,28.8,508.8,105.5,240.8,166,38
103.2,19.2,502.5,110,230,171,43
102.8,30.8,508.2,106,243.5,166,43
97.8,16.2,506.2,109.2,230,172,43
103.2,19.2,502.5,110,230,171,43
110,19,498.2,111.8,232,172.5,44
105,29,506,116,246,167.5,46
103.8,28.8,508.8,105.5,240.8,166,37
103.5,18.5,498.8,109.5,231.2,169.8,46
100.5,30,506.8,115.5,246.2,167.2,44
101,30,509,115.8,244.8,167,44
103,19.5,497.8,110.5,230.2,171,45
106,29.8,505.2,105.8,243.8,166,42
109,20.8,500,110.5,230.5,171.2,43
109.2,18.2,501,110.5,231.2,171.5,42
103.2,28.2,510,105,242.8,171,41
104.8,15.2,499.2,109.5,227.5,172.5,45
103.8,13,508.2,109.2,232,169.8,43
103.8,29.8,508.2,116.8,248.8,165.8,43
103.8,28.8,508.8,105.5,240.8,166,37
105.5,20.8,504,110.8,231,171.2,44
99,19,506,110.2,230.5,171,43
101,29.8,508.2,116.5,249,167.2,44
103.2,28.2,510,105,242.8,171,39
97,28,510,105.2,228.8,166,41
103.8,28.8,506.2,116.5,248,167,43
104.8,15.2,499.2,109.5,227.5,172.5,45
99,19,506,110.2,230.5,171,43
103.8,28.8,508.8,105.5,240.8,166,37
103.2,28.2,510,105,242.8,171,40
103.5,18.5,498.8,109.5,231.2,169.8,45
103.5,18.5,498.8,109.5,231.2,169.8,46
102,17,499,107.5,227.2,169,44
106,24,500,110.2,232.2,170,43
102.8,30.8,508.2,106,243.5,166,43
106,29.8,505.2,105.8,243.8,166,42
103.8,28.8,506.2,116.5,248,167,44
97,28,510,105.2,228.8,166,41
104.2,28.2,500.8,108.5,231,171.2,44
109,20.8,500,110.5,230.5,171.2,42
101,29.8,508.2,116.5,249,167.2,45
103.5,27,510.5,104.5,243.5,171,40
103,19.5,497.8,110.5,230.2,171,44
108,20,501,109.5,228.2,171,44
102,17,499,107.5,227.2,169,45
109.2,18.2,501,110.5,231.2,171.5,42
109.2,18.2,501,110.5,231.2,171.5,41
101,29.8,508.2,116.5,249,167.2,46
